@relation 'struts_pkg_prediction-weka.filters.unsupervised.attribute.Remove-R1,9-11-weka.filters.supervised.instance.SMOTE-C2-K5-P1220.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P1841.0-S1'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,1,0,0,0.513575,0.186617
b,0,0.966627,0,0,0.881505,1
b,0,1,0,0,0.095945,1
b,0,0,0.072447,0,0,1
b,0,0,0.868621,0,0,1
b,0,0,0.08345,0,0,1
b,0,0,0.858291,0,0,1
b,0,0,0.288466,0,0,1
b,0,0,0.515534,0,0,1
b,0,0,0.560074,0,0,1
b,0,0,0.258687,0,0,1
b,0,0,0.640775,0,0,1
b,0,0,0.703267,0,0,1
b,0,0,0.21292,0,0,0.736112
b,0,0,0.888355,0,0,1
b,0,0,0,0,1,0
b,0,0,0,0,0.423743,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,0.372117,0
b,0,0,0,0,1,0
b,0,0,0,0,0.445318,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0,0,0,1,0
b,0,0.473965,0,0,0,1
b,0,0.146562,0,0,0,1
b,0,1,0,0,0.964824,1
b,0,0.447756,0,0,0,1
b,0,1,0,0,0.581287,1
b,0,1,0,0,0.787387,1
b,0,1,0,0,0.448731,1
b,0,0.633036,0,0,0,1
b,0,1,0,0,0.771702,1
b,0,1,0,0,0.682347,1
b,0,0.598208,0,0,0,1
b,0,0.414539,0,0,0,1
b,1,0.066811,0,0,0,0
b,0.550618,1,0,0,0,0
b,0.40534,1,0,0,0,0
b,1,1,0,0.285838,0,0
b,1,1,0,0.919244,0,0
b,1,0.116608,0,0,0,0
b,0.563908,1,0,0,0,0
b,0.259545,1,0,0,0,0
b,1,1,0,0,0,0
b,1,1,0,0.561582,0,0
b,0.265389,1,0,0,0,0
b,1,1,0,0.257167,0,0
b,0,0,0,0,0,0.296907
b,0.397088,0,0,0,0,0
b,0,0,0,0,0,0
b,0.956139,0,0,0,0,0
b,0,0,0,0,0,0.87322
b,0,0,0,0,0,0
b,0.693233,0,0,0,0,0
b,0,0,0,0,0,0.744743
b,0,0,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0.226209,0
b,0,0,0,0,0,0.793646
b,1,1,0,0.824424,0,0
b,1,1,0,1,0,0
b,1,1,0,1,0.19164,0
b,1,1,0,1,0,0.899579
b,1,1,0,1,0,0.984771
b,1,1,0,0.92343,0,0
b,1,1,0,0.455926,0,0
b,1,1,0,1,0,0.837051
b,1,1,0,1,0.653765,0
b,1,1,0,1,0,0.377966
b,1,1,0,1,0,0.777313
b,1,1,0,1,0,0
b,0.136486,0,0,0,0.01902,1
b,0.806201,0,0,0,1,0.132208
b,0.400224,0,0,0,1,0.383287
b,1,0,0,0,0.636539,0.391833
b,0.97796,0,0,0,1,0.255171
b,0.60371,0,0,0,1,0.477464
b,0.297284,0,0,0,0.885231,1
b,0.750425,0,0,0,1,0.018127
b,0.616034,0,0,0,0.50943,1
b,0.220505,0,0,0,1,0.780214
b,1,0,0,0,0.387834,0.694836
b,0.156309,0,0,0,1,0.443539
c,0,0.487087,0,0,1,0
c,0,0.659893,0,0,1,0
c,0,0.852254,0,0,1,0
c,0,0,0,0,1,0
c,0,0,0,0,1,0
c,0,0.889909,0,0,1,0
c,0,0,0,0,0.121571,0
c,0,0,0,0,0.49234,0
c,0,0,0,0,0.641005,0
c,0,0,0,0,1,0
c,0,0.699592,0,0,1,0
c,0,0.63119,0,0,1,0
c,0,0.139614,0,0,1,0
c,0,0.09975,0,0,1,0
c,0,0.642382,0,0,1,0
c,0.292093,0,0,0,1,0
c,0,0,0,0,1,0
c,0,0,0,0,0.413679,0
c,0,0.9974,0,0,1,0
c,0,1,0,0,1,0.822757
c,0,1,0,0,1,0.991648
c,0,0.693517,0,0,0.071106,1
c,0,1,0,0,1,0.70768
c,0,0.969931,0,0,0.573557,1
c,0.547224,1,0,0,0.21139,1
c,0,0.555543,0,0,1,0.711899
c,0.554894,1,0,0,0.25096,1
c,0,1,0,0,1,0.276249
c,0,1,0,0,1,0.549036
c,0,0.934603,0,0,1,0.696024
c,0,1,0,0,1,0.583825
c,0,0.390859,0,0,0.291846,1
c,0,0.902565,0,0,0.662065,1
c,0,0.651019,0,0,1,0.416257
c,0,0.44819,0,0,1,0.894064
c,0,1,0,0,1,0.680292
c,0,1,0,0,1,0.633834
c,0.976401,0,0,0,1,0
c,1,0,0,0.570089,1,0
c,0.620137,0.107704,0,0,1,0
c,1,0.500541,0,0,0.459465,0
c,1,0,0,0.716492,1,0
c,0.09663,0,0,0,1,0
c,0.120023,0.06046,0,0,1,0
c,1,0,0,0.985779,1,0
c,1,0,0,0.466092,1,0
c,0.006067,0,0,0,1,0
c,0.106762,0,0,0,1,0
c,0.835402,0,0,0,1,0
c,0.827502,0.133272,0,0,1,0
c,1,0.310207,0,0,0.985254,0
c,0.388051,0,0,0,1,0
c,0.694281,0.471544,0,0,1,0
c,0.447804,0.530531,0,0,1,0
c,1,0,0,0.408575,1,0
c,0.586491,0.465612,0,0,1,0
c,1,1,0,1,0.032063,0.62536
c,0.732265,1,0,1,0,0.188722
c,0.932422,1,0,1,0,0.217894
c,1,1,0,0.682637,0,1
c,0.171451,1,0,1,0,0.349765
c,1,1,0,0.637906,0,1
c,0.91159,1,0,1,0,0.480766
c,1,1,0,1,0,0.520408
c,1,1,0,1,0,0.930258
c,1,1,0,1,0.916713,0.528327
c,1,1,0,0.337404,0,0.026457
c,1,1,0,1,0.491836,0.149178
c,0.258612,1,0,1,0,0.128681
c,0.789715,1,0,1,0,0.037629
c,1,1,0,0.690102,0,1
c,1,1,0,0.655461,0,0.796285
c,1,1,0,1,0.286431,0.574073
c,1,1,0,0.921471,0,0.431937
c,0.265733,1,0,1,0,0.679147
c,0.464866,0.05774,0,0,0,1
c,0.870756,0.854045,0,0,0,1
c,0,0.225957,0,0,0.551488,1
c,0,0,0,0,0.056734,0.228481
